provider,label,source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,runtime_source,included_in_plot
clickhouse,ClickHouse Cloud,2,2,2026-08-08T07:56:02Z,3742528876,1,Hourly OHLCV bars,0.865,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,3,3,2026-08-08T08:56:02Z,7149139248,1,Hourly OHLCV bars,0.557,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,4,4,2026-08-08T09:56:02Z,10451300014,1,Hourly OHLCV bars,0.589,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,5,5,2026-08-08T10:56:02Z,13693746344,1,Hourly OHLCV bars,0.935,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,6,6,2026-08-08T11:56:02Z,17207612605,1,Hourly OHLCV bars,0.508,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,7,7,2026-08-08T12:56:02Z,20600910656,1,Hourly OHLCV bars,0.898,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,8,8,2026-08-08T13:56:02Z,23847648964,1,Hourly OHLCV bars,0.831,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,9,9,2026-08-08T14:56:02Z,27120394813,1,Hourly OHLCV bars,0.723,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,10,10,2026-08-08T15:56:02Z,30468775164,1,Hourly OHLCV bars,0.782,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,11,11,2026-08-08T16:56:02Z,33749879001,1,Hourly OHLCV bars,0.587,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,12,12,2026-08-08T17:56:02Z,36853722010,1,Hourly OHLCV bars,1.08,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,13,13,2026-08-08T18:56:02Z,39940404643,1,Hourly OHLCV bars,0.728,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,14,14,2026-08-08T19:56:02Z,43039194322,1,Hourly OHLCV bars,0.927,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,15,15,2026-08-08T20:56:02Z,46111116140,1,Hourly OHLCV bars,0.829,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,16,16,2026-08-08T21:56:02Z,49175866023,1,Hourly OHLCV bars,0.878,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,17,17,2026-08-08T22:56:02Z,52443266481,1,Hourly OHLCV bars,0.657,clickhouse-client --time,True
clickhouse,ClickHouse Cloud,18,18,2026-08-08T23:56:02Z,55419548257,1,Hourly OHLCV bars,0.692,clickhouse-client --time,True
